X,Y,X,Y,Date of ta,Locality (,G. illyric,G. palustr,xcoord,ycoord,icon_url
14.1212996211286,45.5501499627743,"45471","431763",14.06.2016,Hruďż˝ica-Mlake,x,,14.121283651629131,45.550162437997720,./0.png
14.1228493554322,45.5484971309811,"45286","431882",14.06.2016,Hruďż˝ica-Mlake,x,,14.122833389847017,45.548509607657337,./0.png
14.1232708203067,45.548572347272,"45294","431915",14.06.2016,Hruďż˝ica-Mlakeďż˝kovci,x,,14.123254854664165,45.548584824401672,./0.png
14.1235808037816,45.5484037499264,"45275","431939",14.06.2016,Hruďż˝ica-Mlakeďż˝kovci,x,,14.123564838575733,45.548416227364733,./0.png
14.2183367531829,45.6245234998924,"53658","439420",14.06.2016,Brkinski rob-Kriďż˝iďż˝ďż˝e,x,,14.218320647244774,45.624536085318915,./0.png
14.2185010839931,45.6246955900185,"53677","439433",14.06.2016,Brkinski rob-Kriďż˝iďż˝ďż˝e,x,,14.218484977722596,45.624708175635007,./0.png
14.218636173524,45.6242016027286,"53622","439443",14.06.2016,Hruďż˝ica-Mlake,x,,14.218620068347180,45.624214188442416,./0.png
14.1229637269044,45.5493798571581,"45384","431892",14.06.2016,Vrhe-Gradiďż˝ďż˝e pri ďż˝tjaku,x,,14.122947759459755,45.549392334053117,./0.png
13.92553495828,45.7902097337068,"72335","416835",22.04.2013,Vrhe-Gradiďż˝ďż˝e pri ďż˝tjaku,x,,13.925518435346822,45.790222027944672,./0.png
13.9277983165313,45.7902309589592,"72335","417011",20.05.2013,Korada-Vrhoveljska planina,x,,13.927781794037230,45.790243255524153,./0.png
13.5684989468828,46.047339608069,"101346","389589",9.06.2003,Korada-v rajdi,r,,13.568481821784795,46.047351560276589,./0.png
13.5757601678927,46.0695196763813,"103801","390195",3.06.2003,Kanalski Kolovrat-Zajavorce,r,,13.575742999055379,46.069531636902958,./0.png
13.5863708212819,46.0721526098683,"104079","391021",9.07.2003,Korada,,x,13.586353649008748,46.072164580974501,./0.png
13.5717889337422,46.0691192704164,"103762","389887",8.06.2006,Banjďż˝ice-Kameraďż˝,,x,13.571771764999069,46.069131227007333,./0.png
13.6855479172949,46.0494277308855,"101422","398651",5.06.2019,Banjďż˝ice-Kameraďż˝,,x,13.685530809313310,46.049439799079870,./0.png
13.684067153392,46.0492037664028,"101399","398536",16.06.2020,Banjďż˝ice-Kameraďż˝,,x,13.684050045602371,46.049215833113827,./0.png
13.683526497379,46.05020529578,"101511","398496",30.06.2020,Korada-v rajdi,,x,13.683509387438432,46.050217362001327,./0.png
13.5685633797636,46.0408350287642,"100623","389581",9.06.2003,Korada-v rajdi,x,,13.568546267893762,46.040846980677550,./0.png
13.6168733772595,45.9858317021704,"94444","393214",15.05.2008,Podsabotin,x,,13.616856386578752,45.985843698623086,./0.png
13.6169781730816,45.9857699839025,"94437","393222",15.05.2008,Podsabotin,x,,13.616961182547049,45.985781980455307,./0.png
13.5267466099646,46.0508046696548,"101790","386365",21.06.2010,Vrhovlje pri Koďż˝bani,x,,13.526729470100562,46.050816580980033,./0.png
13.5717155677321,46.0689563956108,"103744","389881",8.06.2006,Korada,x,"2",13.571698399306589,46.068968352121232,./0.png
13.5716786531503,46.0688839530275,"103736","389878",16.06.2020,Korada-Vrh dolin,"1","1",13.571661484865283,46.068895909497968,./0.png
13.5720912562743,46.0689250931566,"103740","389910",16.06.2020,Korada-Vrh dolin,"1",x,13.572074087980418,46.068937050035387,./0.png
13.5722684694784,46.0690712679548,"103756","389924",16.06.2020,Korada-Vrh dolin,x,x,13.572251300919769,46.069083225015440,./0.png
13.5718955604423,46.068994632929,"103748","389895",30.06.2020,Korada-Vrh dolin,,"2",13.571878391971740,46.069006589618574,./0.png
13.5696284108411,46.0681835145025,"103661","389718",6.07.2011,Korada,,x,13.569611243607008,46.068195468919015,./0.png
13.5567919459888,46.0666996758764,"103514","388722",6.07.2011,Korada,,"1",13.556774779433264,46.066711617585895,./0.png
13.5574260705678,46.0666716807479,"103510","388771",6.07.2011,Korada,,"1",13.557408904184573,46.066683623079605,./0.png
13.566396071914,46.0662085533294,"103446","389464",26.06.2018,Korada,,"2",13.566378908103609,46.066220504463303,./0.png
13.5625216676196,46.0655750966124,"103381","389163",8.07.2019,Korada- sv.Genderca,,x,13.562504504390152,46.065587043900592,./0.png
13.5609416028859,46.0651953277035,"103341","389040",26.06.2018,Korada,,"1",13.560924440139551,46.065207273417272,./0.png
13.5632653158056,46.0658093791718,"103406","389221",26.06.2018,Korada- sv.Genderca,,"1",13.563248152236026,46.065821327203864,./0.png
13.5635443686683,46.0655159571633,"103373","389242",26.06.2018,Korada- sv.Genderca,,x,13.563527205745237,46.065527905454850,./0.png
13.5630270236273,46.0655274572853,"103375","389202",6.07.2011,Korada,,x,13.563009860586684,46.065539405068321,./0.png
13.5624327507153,46.0650161199769,"103319","389155",6.07.2011,Korada,,r,13.562415588604461,46.065028067148702,./0.png
13.5619057544575,46.0649015254587,"103307","389114",6.07.2011,Korada,,x,13.561888592483259,46.064913472106063,./0.png
13.5604487024902,46.0667547340423,"103515","389005",30.06.2020,Korada,,x,13.560431536488840,46.066766679351637,./0.png
13.5622711580324,46.0652660264515,"103347","389143",30.06.2020,Korada,,x,13.562253995384820,46.065277973477208,./0.png
13.7074960003837,46.0364150165473,"99948","400326",18.09.2020,Banjďż˝ice-Kuk,,"2",13.707478923085919,46.036427105967086,./0.png
13.7077174563217,46.0363365374498,"99939","400343",1.07.2020,Banjďż˝ice-Kuk,,"3",13.707700379225393,46.036348627086475,./0.png
13.7071574620667,46.0365281637276,"99961","400300",1.07.2020,Banjďż˝ice-Kuk,,"3",13.707140384474934,46.036540252815350,./0.png
13.6837300992823,46.0497937414549,"101465","398511",30.06.2020,Banjďż˝ice-Kameraďż˝,,"1",13.683712990222244,46.049805807858995,./0.png
13.7002004816972,46.0252111512137,"98712","399741",1.07.2020,Madoni-Visoko,,"1",13.700183426080676,46.025223232798922,./0.png
13.9338454175925,45.7894596211824,"72243","417480",30.05.2014,Vrhe-Brda,,,13.933828898009416,45.789471923900919,./0.png
13.933786443706,45.789854988679,"72287","417476",30.05.2014,Vrhe-Brda,,,13.933769923280154,45.789867291368296,./0.png
13.6566763789253,46.0452774425049,"100998","396409",24.05.2018,Dragovica-Rebro,,x,13.656659274211394,46.045289481811537,./0.png
13.656590092085,46.0451054723347,"100979","396402",1.07.2020,Dragovica-Rebro,,x,13.656572987707216,46.045117511547005,./0.png
13.6566454647641,46.0449531605203,"100962","396406",1.07.2020,Dragovica-Rebro,,"1",13.656628360708073,46.044965199779980,./0.png
13.6567847288402,46.045071765941,"100975","396417",1.07.2020,Dragovica-Rebro,,"2",13.656767624566909,46.045083805344881,./0.png
13.7044167135614,46.0321782445672,"99481","400080",1.07.2020,Banjďż˝ice-Mulik,,"3",13.704399644406735,46.032190330707877,./0.png
13.705171445381,46.0319438461385,"99454","400138",1.07.2020,Banjďż˝ice-Mulik,,"3",13.705154376845670,46.031955933019958,./0.png
13.705093863614,46.032500829879,"99516","400133",1.07.2020,Banjďż˝ice-Mulik,,"1",13.705076793920304,46.032512916710914,./0.png
13.9879079790395,45.7486939568276,"67658","421626",4.06.2013,Raďż˝a-Ravnice,"1",,13.987891556930053,45.748706311968363,./0.png
14.0006840167448,45.8956904584523,"83982","422824",27.06.2013,Kriďż˝na gora-Col,x,,14.000667287354744,45.895702837153145,./0.png
14.0098344207096,45.8970926600679,"84129","423536",27.06.2013,ďż˝piďż˝ek nad Colom,x,,14.009817690138016,45.897105048254168,./0.png
14.0088821610303,45.8955637684542,"83960","423460",13.07.2020,Kriďż˝na gora-Col,x,,14.008865433497501,45.895576155574275,./0.png
14.0041847381665,45.8952170766766,"83926","423095",27.06.2013,Kriďż˝na gora-Col,"1",,14.004168010453325,45.895229458947817,./0.png
13.9787569910492,45.5315188246282,"43532","420607",3.07.2020,Slavnik,,x,13.978741025639836,45.531531147912382,./0.png
13.9790034621626,45.5313410538132,"43512","420626",10.07.2020,Slavnik,,x,13.978987497191806,45.531353377333382,./0.png
13.975542606061,45.5301493173163,"43383","420354",10.07.2020,Slavnik,,x,13.975526642734158,45.530161637072624,./0.png
14.070470376568,45.4954244884003,"39434","427724",21.07.2020,Oďż˝triďż˝-Griďż˝a,x,,14.070454511165625,45.495436903575701,./0.png
14.0700561143997,45.4957180756379,"39467","427692",21.07.2020,Oďż˝triďż˝-Griďż˝a,x,,14.070040248265522,45.495730490412498,./0.png
14.0703714284363,45.4952167180577,"39411","427716",21.07.2020,Oďż˝triďż˝-Griďż˝a,,x,14.070355563451589,45.495229133103102,./0.png
14.0692202571392,45.4959722394961,"39496","427627",21.07.2020,Oďż˝triďż˝-Griďż˝a,x,,14.069204390249412,45.495984653420429,./0.png
14.0704505515219,45.4950733838047,"39395","427722",21.07.2020,Oďż˝triďż˝-Griďż˝a,,"1",14.070434686862926,45.495085798915824,./0.png
14.0683736719101,45.4961003301754,"39511","427561",21.07.2020,Oďż˝triďż˝-Griďż˝a,,x,14.068357804530743,45.496112743222653,./0.png
14.0697372958667,45.4925389948157,"39114","427663",21.07.2020,Oďż˝triďż˝-Griďż˝a,,x,14.069721436427839,45.492551408861431,./0.png
14.0286940467521,45.7833302156443,"71468","424846",13.07.2020,Nanos-Dolenja Ravan,"1",,14.028677560229813,45.783342615764070,./0.png
14.027359806051,45.7846236135405,"71613","424744",13.07.2020,Nanos-Dolenja Ravan,"1",,14.027343316511420,45.784636012375984,./0.png
14.0265840401882,45.7848599687664,"71640","424684",13.07.2020,Nanos-Dolenja Ravan,"2",,14.026567549985131,45.784872366816273,./0.png
14.0263409667925,45.7847859167522,"71632","424665",13.07.2020,Nanos-Dolenja Ravan,"2",,14.026324476694674,45.784798314544794,./0.png
14.0295307318356,45.784030166162,"71545","424912",13.07.2020,Nanos-Dolenja Ravan,"1",,14.029514244009407,45.784042567201254,./0.png
14.0284656021468,45.7853798464866,"71696","424831",13.07.2020,Nanos-Na Lipah,"2",,14.028449111241127,45.785392246524289,./0.png
14.0281703713613,45.7860881912132,"71775","424809",13.07.2020,Nanos-Na Lipah,"1",,14.028153878895134,45.786100590998394,./0.png
14.0223531370197,45.7899978261773,"72215","424362",13.07.2020,Nanos-Njivna,"1",,14.022336635061873,45.790010220232794,./0.png
13.8497599522441,45.9229858092186,"87173","411156",17.07.2020,Mala gora,"1","1",13.849743136327097,45.922998035463344,./0.png
13.8495626991927,45.9231727829597,"87194","411141",20.07.2020,Mala gora,x,,13.849545882848117,45.923185009015739,./0.png
13.8499146357892,45.9229873636063,"87173","411168",17.07.2020,Mala gora,"1",x,13.849897819899120,45.922999590007969,./0.png
13.8503799851195,45.922929053154,"87166","411204",17.07.2020,Mala gora,"1","2",13.850363169441572,45.922941280024091,./0.png
13.8505843748456,45.9230210850228,"87176","411220",17.07.2020,Mala gora,"1","1",13.850567559015943,45.923033312105794,./0.png
13.850213895775,45.9228554015013,"87158","411191",17.07.2020,Mala gora,"1","2",13.850197080217990,45.922867628198489,./0.png
14.0023934693034,45.8952194780088,"83928","422956",13.07.2020,Kriďż˝na gora-Col,x,,14.002376741237510,45.895231858439210,./0.png
14.0015409996179,45.8953290199127,"83941","422890",27.06.2013,Kriďż˝na gora-Col,x,,14.001524271155684,45.895341399473381,./0.png
13.6116460766158,46.0070122788976,"96805","392850",9.10.2012,Sabotin,,"1",13.611629041705850,46.007024271454810,./0.png
13.6121857669774,46.0071178015537,"96816","392892",1.07.2013,Sabotin,,"1",13.612168731954670,46.007129794652009,./0.png
13.6155585581185,46.0054580699187,"96627","393150",9.10.2012,Sabotin,,x,13.615541527122954,46.005470066262085,./0.png
13.6168573000637,46.0046369783765,"96534","393249",13.05.2013,Sabotin,,x,13.616840270990807,46.004648975958901,./0.png
13.6168031472179,46.0021439274871,"96257","393240",9.10.2012,Sabotin,,"1",13.616786123223280,46.002155924867409,./0.png
13.6154820049934,46.0054211524381,"96623","393144",1.07.2013,Sabotin,,"1",13.615464974058709,46.005433148703375,./0.png
13.6203637922167,46.0027807683481,"96323","393517",9.10.2012,Sabotin,,x,13.620346767599816,46.002792769297812,./0.png
13.6149006849042,46.0054321130584,"96625","393099",9.10.2012,Sabotin,,r,13.614883653836651,46.005444108748016,./0.png
13.8602741668207,45.9207785237261,"86916","411968",16.06.2011,Mala goraďż˝aven,,,13.860257357550788,45.920790760505071,./0.png
14.0176976549461,46.1286367925815,"109855","424463",9.07.2015,ďż˝kofje,,"1",14.017680438385055,46.128649197263741,./0.png
13.9514237225206,46.1561575548187,"112979","419382",8.07.2020,Jesenica-Vrh ravni-Na Krogu,,r,13.951406438022456,46.156169892798779,./0.png
13.9520890349307,46.1558937183657,"112949","419433",8.07.2020,Jesenica-Vrh ravni-Na Krogu,,x,13.952071751086271,46.155906057013596,./0.png
13.9507279580707,46.1552964147611,"112884","419327",8.07.2020,Jesenica-Vrh ravni-Na Krogu,,"1",13.950710675264968,46.155308752025675,./0.png
13.9167786996574,46.1084447739989,"107712","416634",28.06.2010,ďż˝ebrelje-Sv. Ivan,,"1",13.916761509291273,46.108457076044303,./0.png
13.9168604497264,46.1102180792545,"107909","416643",28.06.2010,ďż˝ebrelje-Sv. Ivan,,"2",13.916843255674692,46.110230381426760,./0.png
13.9242611804047,46.1301455651039,"110116","417245",12.06.2018,Rodne,,"2",13.924243945972673,46.130157875201448,./0.png
13.9522383941133,46.1575776263713,"113136","419447",8.07.2020,Jesenica-Vrh ravni-Na Krogu,,r,13.952221106772599,46.157589965194987,./0.png
13.9526797331196,46.1568348671181,"113053","419480",8.07.2020,Jesenica-Vrh ravni-Na Krogu,,x,13.952662447399026,46.156847206376469,./0.png
13.924864396111,46.1457260402081,"111847","417315",13.06.2017,Bukovo-Kojca -Ravna njiva,,"1",13.924847129272010,46.145738351219883,./0.png
13.9250573102526,46.145790834302,"111854","417330",13.06.2017,Bukovo-Kojca -Ravna njiva,,x,13.925040043308670,46.145803145509397,./0.png
13.9247196328771,46.1298619482279,"110084","417280",12.06.2018,Rodne,,r,13.924702399109730,46.129874258782053,./0.png
13.9254300913838,46.1245960266355,"109498","417327",12.06.2018,Rodne,,"1",13.925412868717180,46.124608337793603,./0.png
13.9253419731294,46.1244692332663,"109484","417320",12.06.2018,Rodne,,"1",13.925324750713253,46.124481544332632,./0.png
13.9169178153749,46.1099306979713,"107877","416647",26.06.2020,ďż˝ebrelje-Sv. Ivan,,x,13.916900621931983,46.109943000194342,./0.png
13.8863150778518,46.0742853425585,"103948","414226",2.07.2019,Utrďż˝ki vrh-Rob,,"1",13.886297953615276,46.074297612870780,./0.png
13.8862716036252,46.0745188593504,"103974","414223",2.07.2019,Utrďż˝ki vrh-Rob,,x,13.886254478895108,46.074531129626529,./0.png
13.8876892802687,46.0747395881426,"103997","414333",2.07.2019,Utrďż˝ki vrh-Rob,,x,13.887672155319018,46.074751859856278,./0.png
13.8842246392882,46.0747328681436,"104000","414065",17.06.2019,Utrďż˝ki vrh-Rob,,"1",13.884207513766004,46.074745136361678,./0.png
13.8849016615924,46.0744965268659,"103973","414117",17.06.2019,Utrďż˝ki vrh-Rob,,"1",13.884884536676870,46.074508795759193,./0.png
